,,,,,,,,,,,,,,,
,,"Français","Anglais","ie","ouralique","finnois","hongrois","altaïque","turc","japonais","paleosiberien","étrusque","sémitique","kartvélien","dravidien"
,163,"vent",,"kewero",,"tuuli","ssel",,"yel",,,,,,
,164,"neige",,"sneigwh",,"lumi","ho",,"kar",,,,,,
,165,"glace",,"yeg","yañi","jaa","jeg",,"buz",,,,,,
,166,"fumée",,"dhumos",,"savu","füst",,"duman",,,,,,
,167,"feu",,"ater,egnis,pehur","tuli","tuli","tüz",,"ateS",,,,,,
,168,"cendre",,"os",,"tuhka","hamu",,"kül",,,,,,
,169,"brûler (intransitif)",,"dhegwh,swel,aws",,"palaa","eg",,"yakmak",,,,,,
,170,"route",,"pent",,"tie","ut",,"yol",,,,,,
,171,"montagne",,"ghero",,"muori","hegy",,"da",,,,,,
,172,"rouge",,"rewdhos",,"punainen","piros,vörös",,"kirmisi",,,,,,
,173,"vert",,,,"vihrea","zöld",,"yeSil",,,,,,
,174,"jaune",,"kenkhos",,"keltainen","Sarga",,"sari",,,,,,
,175,"blanc",,"albhos",,"valkoinen","feher",,"beyaz",,,,,,
,176,"noir",,"swordos,ams",,"musta","fekete",,"siyah",,,,,,
,177,"nuit",,"nokwts",,"yö","ejssaka",,"geje",,,,,,
,178,"jour",,"agh,dein",,"paiva","nappal",,"gün",,,,,,
,179,"an, année",,"yehr,wet",,"muosi","ev ",,"sene,yil",,,,,,
,180,"chaud (température)",,"tep,gwer",,"lammin","meleg",,"sijak",,,,,,
,181,"froid (température)",,"gel",,"külma","hideg",,"souk",,,,,,
,182,"plein",,"plenos",,"taüsi","tele",,"dolu",,,,,,
,183,"nouveau",,"newos",,"uusi","uj",,"yeni",,,,,,
,184,"vieux",,"seno",,"vanha,ukko","régi,öreg",,"eski,ihtiyar",,,,,,
,185,"bon",,"bhed,esu,duenos",,"hüva","jo",,"iyi",,,,,,
,186,"mauvais",,"awap",,"huono","ross",,"fena",,,,,,
,187,"pourri",,,,"mata","rothadt",,"tSuruk",,,,,,
,188,"sale",,,,"likainen","piskos,kossos",,"pis",,,,,,
,189,"droit (rectiligne)",,"reg",,"suora","egyenes",,"düz",,,,,,
,190,"rond",,,,"püörea","kerek",,"yuvarlak,toparlak",,,,,,
,191,"tranchant",,"hedh,ak",,"terava","eles",,"keskin",,,,,,
,192,"émoussé",,,,"tülsa","tompa",,"körelmis",,,,,,
,193,"lisse",,,,"tasainen,silea,tasoitta","sima",,"perdahli",,,,,,
,194,"mouillé, humide",,"wed",,"marka","nedves",,"islak",,,,,,
,195,"sec",,"ters",,"kuiva","ssaraz",,"kuru",,,,,,
,196,"juste, correct",,,,"oikea","helyes,jogos",,"doru",,,,,,
,197,"près",,,,"lahella","közel",,"yakin",,,,,,
,198,"loin",,"wi",,"kaukana","messe",,"uzak",,,,,,
,199,"droite",,"deks",,"oikea","jobb",,"sada",,,,,,
,200,"gauche",,"sewyos",,"vasen,yalyella","bal",,"solda",,,,,,
,201,"à",,"epi,ad",,,,,"a,e",,,,,,
,202,"dans",,"en",,,,,"itSeri",,,,,,
,203,"avec (ensemble)",,"kom",,"kanssa",,,"ile,beraber",,,,,,
,204,"et",,"kwe",,"ya","es",,"vermek",,,,,,
,205,"si (condition)",,,,"yos","haj",,"ise",,,,,,
,206,"parce que",,,,"koska","mert",,"zira",,,,,,
,207,"nom",,"nomn",,"nimi","nev",,"ad",,,,,,
,,"aller",,,"meni",,,,,,,,,,
